fpr,tpr,threshold
0.0,0.0,inf
0.0,0.03737163655271026,1.0
0.0,0.038866502014818664,0.9999998807907104
0.0,0.03984141427271545,0.9999997615814209
0.0,0.040231379175874174,0.9999996423721313
0.0,0.041271285584297414,0.9999995231628418
0.0,0.04198622124008839,0.9999994039535522
0.0,0.04289613934745873,0.9999992847442627
0.0,0.04367606915377616,0.9999991655349731
0.0,0.05271025607695307,0.9999990463256836
0.0,0.0533601975822176,0.9999988079071045
0.0,0.054140127388535034,0.9999986886978149
0.0,0.06479916807487326,0.9999985694885254
0.0,0.06967372936435721,0.9999984502792358
0.0,0.07110360067593917,0.9999983310699463
0.0,0.07142857142857142,0.9999982118606567
0.0,0.0721435070843624,0.9999980926513672
0.0,0.07259846613804757,0.9999979734420776
0.0,0.073378395944365,0.9999978542327881
0.0,0.07363837254647082,0.9999977350234985
0.0,0.0744832965033147,0.999997615814209
0.0,0.07487326140647342,0.9999974966049194
0.0,0.0754582087612115,0.9999973773956299
0.0,0.07591316781489665,0.9999972581863403
0.0,0.07747302742753152,0.9999971389770508
0.0,0.07779799818016378,0.9999970197677612
0.0,0.0781879630833225,0.9999969005584717
0.0,0.07883790458858703,0.9999967813491821
0.0,0.08013778759911608,0.9999966621398926
0.0,0.0806577408033277,0.999996542930603
0.0,0.08111269985701287,0.9999964237213135
0.0,0.0818926296633303,0.9999963045120239
0.0,0.08273755362017418,0.9999961853027344
0.0,0.08338749512543871,0.9999960660934448
0.0,0.0844923956843884,0.9999959468841553
0.0,0.08579227869491746,0.9999958276748657
0.0,0.08618224359807618,0.9999957084655762
0.0,0.08832705056544911,0.9999955892562866
0.0,0.09027687508124269,0.9999954700469971
0.0,0.0906668399844014,0.9999953508377075
0.0,0.09229169374756271,0.999995231628418
0.0,0.09294163525282724,0.9999951124191284
0.0,0.09391654751072404,0.9999949932098389
0.0,0.09404653581177694,0.9999948740005493
0.0,0.09534641882230599,0.9999947547912598
0.0,0.09599636032757052,0.9999946355819702
0.0,0.09768620824125829,0.9999945163726807
0.0,0.09801117899389054,0.9999943971633911
0.0,0.09970102690757832,0.9999942779541016
0.0,0.10158585727284544,0.999994158744812
0.0,0.10360067593916547,0.9999940395355225
0.0,0.10431561159495645,0.9999939203262329
0.0,0.10516053555180034,0.9999938011169434
0.0,0.10841024307812297,0.9999936819076538
0.0,0.10912517873391395,0.9999935626983643
0.0,0.10951514363707267,0.9999934434890747
0.0,0.10958013778759912,0.9999933242797852
0.0,0.11341479266865982,0.9999932050704956
0.0,0.11373976342129208,0.999993085861206
0.0,0.12348888600025998,0.9999929666519165
0.0,0.12420382165605096,0.999992847442627
0.0,0.1253737163655271,0.9999927282333374
0.0,0.1256336929676329,0.9999926090240479
0.0,0.12595866372026518,0.9999924898147583
0.0,0.12712855842974133,0.9999923706054688
0.0,0.1279734823865852,0.9999922513961792
0.0,0.12829845313921748,0.9999921321868896
0.0,0.12855842974132328,0.9999920129776001
0.0,0.12927336539711426,0.9999918937683105
0.0,0.13024827765501104,0.999991774559021
0.0,0.13109320161185492,0.9999916553497314
0.0,0.13258806707396334,0.9999915361404419
0.0,0.1329130378265956,0.9999914169311523
0.0,0.13336799688028078,0.9999912977218628
0.0,0.1342779149876511,0.9999911785125732
0.0,0.1367476927076563,0.9999910593032837
0.0,0.14285714285714285,0.9999909400939941
0.0,0.14311711945924865,0.9999908208847046
0.0,0.14877161055505003,0.999990701675415
0.0,0.15072143507084362,0.9999905824661255
0.0,0.15234628883400494,0.9999904632568359
0.0,0.15423111919927207,0.9999903440475464
0.0,0.15455608995190434,0.9999902248382568
0.0,0.15514103730664242,0.9999901056289673
0.0,0.15533601975822176,0.9999899864196777
0.0,0.15592096711295983,0.9999898672103882
0.0,0.15878070973612374,0.9999897480010986
0.0,0.16034056934875862,0.9999896287918091
0.0,0.16099051085402313,0.9999895095825195
0.0,0.1614454699077083,0.99998939037323
0.0,0.16209541141297285,0.9999892711639404
0.0,0.16261536461718445,0.9999891519546509
0.0,0.1633952944235019,0.9999890327453613
0.0,0.16411023007929287,0.9999889135360718
0.0,0.16450019498245158,0.9999887943267822
0.0,0.16839984401403874,0.9999886751174927
0.0,0.16963473287404135,0.9999885559082031
0.0,0.17015468607825296,0.9999884366989136
0.0,0.17047965683088523,0.999988317489624
0.0,0.17138957493825555,0.9999881982803345
0.0,0.17184453399194072,0.9999880790710449
0.0,0.17210451059404652,0.9999879598617554
0.0,0.1722994930456259,0.9999878406524658
0.0,0.1739243468087872,0.9999877214431763
0.0,0.17567918887300144,0.9999876022338867
0.0,0.17587417132458077,0.9999874830245972
0.0,0.17684908358247758,0.9999873638153076
0.0,0.18646821786039255,0.9999872446060181
0.0,0.18874301312881842,0.9999871253967285
0.0,0.19472247497725204,0.999987006187439
0.0,0.19855712985831275,0.9999868869781494
0.0,0.20473157415832574,0.9999867677688599
0.0,0.20967112959833614,0.9999866485595703
0.0,0.21129598336149746,0.9999865293502808
0.0,0.21155595996360327,0.9999864101409912
0.0,0.2124658780709736,0.9999862909317017
0.0,0.2133108020278175,0.9999861717224121
0.0,0.21389574938255557,0.9999860525131226
0.0,0.21415572598466137,0.999985933303833
0.0,0.21461068503834654,0.9999858140945435
0.0,0.21500064994150525,0.9999856948852539
0.0,0.21545560899519042,0.9999855756759644
0.0,0.21929026387625114,0.9999854564666748
0.0,0.21968022877940985,0.9999853372573853
0.0,0.21994020538151565,0.9999852180480957
0.0,0.220850123488886,0.9999850988388062
0.0,0.22117509424151827,0.9999849796295166
0.0,0.22143507084362407,0.9999847412109375
0.0,0.2219550240478357,0.999984622001648
0.0,0.22383985441310283,0.9999845027923584
0.0,0.22396984271415574,0.9999843835830688
0.0,0.22429481346678798,0.9999842643737793
0.0,0.2255297023267906,0.9999841451644897
0.0,0.22585467307942286,0.9999840259552002
0.0,0.22611464968152867,0.9999839067459106
0.0,0.22656960873521384,0.9999837875366211
0.0,0.22728454439100482,0.9999836683273315
0.0,0.22832445079942806,0.999983549118042
0.0,0.22845443910048097,0.9999833106994629
0.0,0.22949434550890419,0.9999830722808838
0.0,0.22968932796048355,0.9999829530715942
0.0,0.23014428701416872,0.9999828338623047
0.0,0.2308592226699597,0.9999827146530151
0.0,0.23163915247627714,0.9999825954437256
0.0,0.2326790588847004,0.999982476234436
0.0,0.24171324580787729,0.9999823570251465
0.0,0.242103210711036,0.9999822378158569
0.0,0.24275315221630053,0.9999819993972778
0.0,0.24288314051735344,0.9999818801879883
0.0,0.24314311711945924,0.9999817609786987
0.0,0.2432081112699857,0.9999816417694092
0.0,0.2435980761731444,0.9999815225601196
0.0,0.24405303522682958,0.9999814033508301
0.0,0.24509294163525283,0.9999812841415405
0.0,0.24535291823735864,0.999981164932251
0.0,0.2466528012478877,0.9999810457229614
0.0,0.24769270765631093,0.9999809265136719
0.0,0.2480176784089432,0.9999806880950928
0.0,0.25094241518263355,0.9999805688858032
0.0,0.25120239178473935,0.9999804496765137
0.0,0.2515923566878981,0.9999803304672241
0.0,0.25302222799948004,0.9999802112579346
0.0,0.25354218120369165,0.9999799728393555
0.0,0.25373716365527105,0.9999798536300659
0.0,0.2538671519563239,0.9999797344207764
0.0,0.25425711685948266,0.9999796152114868
0.0,0.25503704666580007,0.9999794960021973
0.0,0.2562719355258027,0.9999793767929077
0.0,0.2566619004289614,0.9999792575836182
0.0,0.2569218770310672,0.9999791383743286
0.0,0.25919667229949306,0.9999790191650391
0.0,0.2601065904068634,0.9999788999557495
0.0,0.26127648511633955,0.99997878074646
0.0,0.2614714675679189,0.9999786615371704
0.0,0.2617314441700247,0.9999783039093018
0.0,0.26231639152476277,0.9999781847000122
0.0,0.26264136227739504,0.9999780654907227
0.0,0.2630313271805538,0.9999779462814331
0.0,0.2630963213310802,0.999977707862854
0.0,0.26342129208371245,0.9999775886535645
0.0,0.2634862862342389,0.9999774694442749
0.0,0.26400623943845053,0.9999773502349854
0.0,0.26413622773950346,0.9999772310256958
0.0,0.2672559469647732,0.9999771118164062
0.0,0.27128558429741323,0.9999769926071167
